X,Specimen_name,Subclass,Major_clades,Species,Age,CS,CS_logged,CS_percent_adult,Discrete_age,Discrete_age_group,PTA_age_group,Dev_strategy,Diet,Diet_3_cats,Mars-plac,Coronoid
1,Bettongia_penicillata_SAM-24228_80days,Metatheria,Marsupialia,Bettongia penicillata,I,174.3897803,5.161292911,62.56896681,I,Group2,Group2,Super-altricial,Fungivore,Herbivore,Marsupial,Very large
2,Bettongia_penicillata_SAM-24230_46days,Metatheria,Marsupialia,Bettongia penicillata,I,113.8225753,4.734640879,40.83817827,I,Group2,Group2,Super-altricial,Fungivore,Herbivore,Marsupial,Very large
3,Bettongia_penicillata_SAM-24233_13-15days,Metatheria,Marsupialia,Bettongia penicillata,E,50.69059356,3.925740362,18.18717852,E,Group1,Group1,Super-altricial,Fungivore,Herbivore,Marsupial,Very large
4,Bettongia_penicillata_SAM-24238_35days,Metatheria,Marsupialia,Bettongia penicillata,I,96.21636923,4.566599502,34.52128217,I,Group2,Group2,Super-altricial,Fungivore,Herbivore,Marsupial,Very large
5,Bettongia_penicillata_SAM-24239_20days,Metatheria,Marsupialia,Bettongia penicillata,E,65.18564174,4.177239226,23.38782839,E,Group1,Group1,Super-altricial,Fungivore,Herbivore,Marsupial,Very large
6,Bettongia_penicillata_SAM-24240_56days,Metatheria,Marsupialia,Bettongia penicillata,I,134.2206464,4.899485061,48.15676215,I,Group2,Group2,Super-altricial,Fungivore,Herbivore,Marsupial,Very large
7,Bettongia_penicillata_SAM-24243_85+days,Metatheria,Marsupialia,Bettongia penicillata,I,189.2503713,5.243070854,67.90076908,SA,Group3,Group3,Super-altricial,Fungivore,Herbivore,Marsupial,Very large
8,Bettongia_penicillata_SAM-24244_28days,Metatheria,Marsupialia,Bettongia penicillata,I,90.77981813,4.508436994,32.57071268,I,Group2,Group2,Super-altricial,Fungivore,Herbivore,Marsupial,Very large
9,Bettongia_penicillata_SAM-24246_60-69days,Metatheria,Marsupialia,Bettongia penicillata,I,149.1066029,5.004661506,53.49766525,I,Group2,Group2,Super-altricial,Fungivore,Herbivore,Marsupial,Very large
10,Bettongia_penicillata_SAM-24247_adult,Metatheria,Marsupialia,Bettongia penicillata,A,278.7160939,5.630193679,100,A,Group4,Group4,Super-altricial,Fungivore,Herbivore,Marsupial,Very large
11,Bradypus_tridactylus_NHMUK_1867.4.12.579,Eutheria,Xenarthra,Bradypus tridactylus,A,311.0235809,5.739868732,100,A,Group4,Group4,Semi-precocial,Herbivore,Herbivore,Placental,Medium
12,Bradypus_tridactylus_NHMUK_1989.226,Eutheria,Xenarthra,Bradypus tridactylus,I,178.0435313,5.182028078,57.24438346,I,Group2,Group2,Semi-precocial,Herbivore,Herbivore,Placental,Medium
13,Bradypus_tridactylus_NHMUK_1994.6,Eutheria,Xenarthra,Bradypus tridactylus,E,139.3558528,4.937030754,44.8055586,E,Group1,Group1,Semi-precocial,Herbivore,Herbivore,Placental,Medium
14,Bradypus_tridactylus_NHMUK_52.1173,Eutheria,Xenarthra,Bradypus tridactylus,I,178.3923011,5.183985064,57.35651959,I,Group2,Group2,Semi-precocial,Herbivore,Herbivore,Placental,Medium
15,Bradypus_tridactylus_NHMUK_no_number,Eutheria,Xenarthra,Bradypus tridactylus,I,213.2965701,5.362683545,68.57890629,SA,Group3,Group3,Semi-precocial,Herbivore,Herbivore,Placental,Medium
16,Bradypus_tridactylus_ZMB_18834,Eutheria,Xenarthra,Bradypus tridactylus,E,149.664231,5.008394325,48.11989836,E,Group1,Group1,Semi-precocial,Herbivore,Herbivore,Placental,Medium
17,Bradypus_tridactylus_ZMB_9195,Eutheria,Xenarthra,Bradypus tridactylus,E,125.5106686,4.832390764,40.35406841,E,Group1,Group1,Semi-precocial,Herbivore,Herbivore,Placental,Medium
18,Cebus_apella_NHMUK_12.6.5.8,Eutheria,Euarchontoglires,Sapajus apella,A,393.3895807,5.97480042,100,A,Group4,Group4,Semi-altricial,Frugivore,Herbivore,Placental,Medium
19,Cebus_apella_NHMUK_28.2.9.3,Eutheria,Euarchontoglires,Sapajus apella,I,302.1007601,5.710760604,76.79429627,I,Group2,Group2,Semi-altricial,Frugivore,Herbivore,Placental,Medium
20,Cebus_apella_NHMUK_3.7.25.1,Eutheria,Euarchontoglires,Sapajus apella,I,308.257281,5.730934762,78.35928965,SA,Group3,Group3,Semi-altricial,Frugivore,Herbivore,Placental,Medium
21,Cebus_apella_NHMUK_67.4.12.394,Eutheria,Euarchontoglires,Sapajus apella,E,174.3636992,5.161143343,44.32341571,E,Group1,Group1,Semi-altricial,Frugivore,Herbivore,Placental,Medium
22,Cebus_apella_NHMUK_71.3174,Eutheria,Euarchontoglires,Sapajus apella,I,243.7420228,5.496110382,61.95945057,I,Group2,Group2,Semi-altricial,Frugivore,Herbivore,Placental,Medium
23,Cebus_apella_NHMUK_71.3177,Eutheria,Euarchontoglires,Sapajus apella,I,293.5782696,5.68214428,74.6278712,I,Group2,Group2,Semi-altricial,Frugivore,Herbivore,Placental,Medium
24,Cyclopes_didactylus_NHMUK_2010.105,Eutheria,Xenarthra,Cyclopes didactylus,I,120.7254585,4.79351903,57.26188524,I,Group2,Group2,Semi-precocial,Insectivore,Faunivore,Placental,Tiny
25,Cyclopes_didactylus_NHMUK_26.12.4.68,Eutheria,Xenarthra,Cyclopes didactylus,A,210.8303944,5.351053992,100,A,Group4,Group4,Semi-precocial,Insectivore,Faunivore,Placental,Tiny
26,Cyclopes_didactylus_NHMUK_55.12.36.345,Eutheria,Xenarthra,Cyclopes didactylus,I,139.6805272,4.939357866,66.25255699,SA,Group3,Group3,Semi-precocial,Insectivore,Faunivore,Placental,Tiny
27,Cyclopes_didactylus_ZMB_6XII1906a,Eutheria,Xenarthra,Cyclopes didactylus,E,114.4251479,4.739920879,54.27355397,E,Group1,Group1,Semi-precocial,Insectivore,Faunivore,Placental,Tiny
28,Dasyprocta_leporina_NHMUK_12.5.11.8,Eutheria,Euarchontoglires,Dasyprocta leporina,I,314.3365266,5.750464153,80.40098484,SA,Group3,Group3,Precocial,Herbivore,Herbivore,Placental,Small
29,Dasyprocta_leporina_NHMUK_52.1156,Eutheria,Euarchontoglires,Dasyprocta leporina,A,390.9610401,5.968607913,100,A,Group4,Group4,Precocial,Herbivore,Herbivore,Placental,Small
30,Dasyprocta_leporina_NHMUK_67.4.12.472,Eutheria,Euarchontoglires,Dasyprocta leporina,I,200.4212802,5.300421552,51.26374744,I,Group2,Group2,Precocial,Herbivore,Herbivore,Placental,Small
31,Dasyprocta_leporina_NHMUK_67.4.12.497,Eutheria,Euarchontoglires,Dasyprocta leporina,I,207.4232045,5.334761172,53.05469938,I,Group2,Group2,Precocial,Herbivore,Herbivore,Placental,Small
32,Dasyprocta_leporina_NHMUK_67.4.12.585_spec1,Eutheria,Euarchontoglires,Dasyprocta leporina,E,75.18211318,4.319913346,19.23007806,E,Group1,Group1,Precocial,Herbivore,Herbivore,Placental,Small
33,Dasyprocta_leporina_NHMUK_67.4.12.585_spec2,Eutheria,Euarchontoglires,Dasyprocta leporina,E,80.09008243,4.383152032,20.48543824,E,Group1,Group1,Precocial,Herbivore,Herbivore,Placental,Small
34,Dasyprocta_leporina_NHMUK_97.8.13.2,Eutheria,Euarchontoglires,Dasyprocta leporina,I,281.0726874,5.63861331,71.89276132,I,Group2,Group2,Precocial,Herbivore,Herbivore,Placental,Small
35,Dasyprocta_leporina_NHMUK_ZD.2021.1,Eutheria,Euarchontoglires,Dasyprocta leporina,I,186.4839458,5.228345154,47.69885658,I,Group2,Group2,Precocial,Herbivore,Herbivore,Placental,Small
36,Dasypus_novemcinctus_MNHN_1901-331,Eutheria,Xenarthra,Dasypus novemcinctus,I,148.0826996,4.997770899,40.81705198,I,Group2,Group2,Precocial,Insectivore,Faunivore,Placental,Small
