Species,Specimen_number,Subclass,Major_clades,Genus,Precocial_altricial_spectrum,Diet,CS,CS_logged,Diet_3,Coronoid
B. penicillata,SAM-24247,Metatheria,Marsupialia,Bettongia,Super altricial,Fungivore,278.7160939,5.630193679,Herbivore,Very large
B. tridactylus,NHMUK_1867.4.12.579,Eutheria,Xenarthra,Bradypus,Semi-precocial,Herbivore,311.0235809,5.739868732,Herbivore,Medium
C. apella,NHMUK_12.6.5.8,Eutheria,Euarchontoglires,Cebus,Semi-altricial,Frugivore,393.3895807,5.97480042,Herbivore,Medium
C. didactylus,NHMUK_26.12.4.68,Eutheria,Xenarthra,Cyclopes,Semi-precocial,Insectivore,210.8303944,5.351053992,Faunivore,Tiny
D. leporina,NHMUK_52.1156,Eutheria,Euarchontoglires,Dasyprocta,Precocial,Herbivore,390.9610401,5.968607913,Herbivore,Small
D. novemcinctus,z.134,Eutheria,Xenarthra,Dasypus,Precocial,Insectivore,362.7961659,5.89384115,Faunivore,Small
E. franqueti,NHMUK_66.3499,Eutheria,Laurasiatheria,Epomops,Altricial,Frugivore,201.8727754,5.307637674,Herbivore,Medium
F. catus,NHMUK_1952.10.20.1,Eutheria,Laurasiatheria,Felis,Semi-altricial,Carnivore,386.3616027,5.956773726,Faunivore,Very large
M. proboscideus,NHMUK_3.1.4.10,Eutheria,Afrotheria,Macroscelides,Precocial,Insectivore,126.5728707,4.840818195,Faunivore,Medium
P. tricuspis,NHMUK_1.8.9.108,Eutheria,Laurasiatheria,Manis,Semi-precocial,Insectivore,240.8285552,5.484085291,Faunivore,Tiny
M. murinus,DLC_7030f,Eutheria,Euarchontoglires,Microcebus,Semi-altricial,Frugivore,140.6334422,4.946156805,Herbivore,Very large
M. domestica,TMM-M-9038,Metatheria,Marsupialia,Monodelphis,Super altricial,Omnivore,163.5472176,5.097101741,Omnivore,Large
M. musculus,cfos_WT_1485,Eutheria,Euarchontoglires,Mus,Altricial,Omnivore,87.58273638,4.472583905,Omnivore,Medium
O. anatinus,NHMUK_90.12.4.5,Prototheria,Monotremata,Ornithorhynchus,Super altricial,Carnivore,327.6564754,5.791965728,Faunivore,Tiny
P. aethiopicus,NHMUK_66.425,Eutheria,Laurasiatheria,Phacochoerus,Precocial,Herbivore,1465.473463,7.289933652,Herbivore,Small
P. cincereus,PcinLge02,Metatheria,Marsupialia,Phascolarctos,Super altricial,Herbivore,495.916987,6.206408548,Herbivore,Medium
R. rattus,NHMUK_1999.14,Eutheria,Euarchontoglires,Rattus,Altricial,Omnivore,135.0555611,4.905686257,Omnivore,Medium
S. setosus,NHMUK_1974.484,Eutheria,Afrotheria,Setifer,Altricial,Omnivore,171.6190953,5.145277459,Omnivore,Large
S. brachyurus,NHMUK_6.8.1.245,Metatheria,Marsupialia,Setonix,Super altricial,Herbivore,325.4150858,5.785101554,Herbivore,Very large
S. macroura,SmacAdult33_08,Metatheria,Marsupialia,Sminthopsis,Super altricial,Insectivore,98.88679572,4.593975718,Faunivore,Very large
T. europaea,NHMUK_1989.565,Eutheria,Laurasiatheria,Talpa,Altricial,Insectivore,128.5538811,4.856348125,Faunivore,Very large
T. vulpecula,TV1,Metatheria,Marsupialia,Trichosaurus,Super altricial,Herbivore,181.0267665,5.198644902,Herbivore,Medium
