Tree_taxa,total_closure_score,logCS
Ornithorhynchus_anatinus_ORNITHORHYNCHIDAE_MONOTREMATA,90.32258065,5.791965728
Macroscelides_proboscideus_MACROSCELIDIDAE_MACROSCELIDEA,91.93548387,4.840818195
Setifer_setosus_TENRECIDAE_AFROSORICIDA,84.67741935,5.145277459
Bradypus_tridactylus_BRADYPODIDAE_PILOSA,83.06451613,5.739868732
Cyclopes_didactylus_CYCLOPEDIDAE_PILOSA,70.16129032,5.351053992
Dasypus_novemcinctus_DASYPODIDAE_CINGULATA,99.19354839,5.89384115
Talpa_europaea_TALPIDAE_EULIPOTYPHLA,83.87096774,4.856348125
Phataginus_tricuspis_MANIDAE_PHOLIDOTA,51.61290323,5.484085291
Felis_catus_FELIDAE_CARNIVORA,80.64516129,5.956773726
Phacochoerus_aethiopicus_SUIDAE_CETARTIODACTYLA,81.4516129,7.289933652
Epomops_franqueti_PTEROPODIDAE_CHIROPTERA,75,5.307637674
Microcebus_murinus_CHEIROGALEIDAE_PRIMATES,88.70967742,4.946156805
Sapajus_apella_CEBIDAE_PRIMATES,62.09677419,5.97480042
Dasyprocta_leporina_DASYPROCTIDAE_RODENTIA,79.83870968,5.968607913
Mus_musculus_MURIDAE_RODENTIA,53.22580645,4.472583905
Rattus_rattus_MURIDAE_RODENTIA,64.51612903,4.905686257
Monodelphis_domestica_DIDELPHIDAE_DIDELPHIMORPHIA,80.64516129,5.097101741
Sminthopsis_macroura_DASYURIDAE_DASYUROMORPHIA,65.32258065,4.593975718
Phascolarctos_cinereus_PHASCOLARCTIDAE_DIPROTODONTIA,66.12903226,6.206408548
Trichosurus_vulpecula_PHALANGERIDAE_DIPROTODONTIA,41.12903226,5.198644902
Setonix_brachyurus_MACROPODIDAE_DIPROTODONTIA,78.22580645,5.785101554
Bettongia_penicillata_POTOROIDAE_DIPROTODONTIA,96.77419355,5.630193679
