,SCS,Dev_origin,Rank
Interfrontal,45.60606061,Neural crest,8
Fronto.parietal,47.42424242,Boundary,6
Interparietal,31.66666667,Mesoderm,20
Supraoccipito.parietal,35.3030303,Mesoderm,18
Basispheno.presphenoid,19.39393939,Neural crest,30
Basispheno.basioccipital,16.21212121,Boundary,31
Exoccipito.basioccipital,26.21212121,Mesoderm,23
Exoccipito.squamosal,24.6969697,Boundary,25
Exoccipito.supraoccipital,28.33333333,Mesoderm,22
Alispheno.squamosal,49.09090909,Neural crest,4
Alispheno.orbitosphenoid,22.27272727,Boundary,27
Orbitospheno.frontal,33.63636364,Boundary,19
Fronto.squamosal,30.3030303,Neural crest,21
Parieto.squamosal,48.18181818,Boundary,5
Supraoccipito.squamosal,19.84848485,Boundary,29
Interpremaxillary,52.42424242,Neural crest,2
Intermaxillary,36.06060606,Neural crest,17
Premaxillo.maxillary..ventral.,24.09090909,Neural crest,26
Interpalatine,36.36363636,Neural crest,15
Maxillo.palatine,36.66666667,Neural crest,14
Pterygo.palatine,37.72727273,Neural crest,13
Premaxillo.maxillary..facial.,26.21212121,Neural crest,23
Premaxillo.nasal,44.09090909,Neural crest,10
Internasal,53.03030303,Neural crest,1
Maxillo.jugal,43.93939394,Neural crest,11
Maxillo.lacrimal,46.81818182,Neural crest,7
Naso.frontal,44.54545455,Neural crest,9
Lacrimo.frontal,43.93939394,Neural crest,11
Jugo.squamosal,21.21212121,Neural crest,28
Palato.alisphenoid,36.21212121,Neural crest,16
Palato.orbitosphenoid,50.75757576,Boundary,3
