Species,closure_rank,Suture,Suture_number,Dev_origin
Bettongia penicillata,9,Interfrontal,suture01,Neural crest
Bradypus tridactylus,4,Interfrontal,suture01,Neural crest
Sapajus apella,1,Interfrontal,suture01,Neural crest
Cyclopes didactylus,7,Interfrontal,suture01,Neural crest
Dasyprocta leporina,8,Interfrontal,suture01,Neural crest
Dasypus novemcinctus,27,Interfrontal,suture01,Neural crest
Epomops franqueti,5,Interfrontal,suture01,Neural crest
Felis catus,8,Interfrontal,suture01,Neural crest
Macroscelides proboscideus,20,Interfrontal,suture01,Neural crest
Phataginus tricuspis,8,Interfrontal,suture01,Neural crest
Microcebus murinus,8,Interfrontal,suture01,Neural crest
Monodelphis domestica,11,Interfrontal,suture01,Neural crest
Mus musculus,4,Interfrontal,suture01,Neural crest
Ornithorhynchus anatinus,1,Interfrontal,suture01,Neural crest
Phacochoerus aethiopicus,7,Interfrontal,suture01,Neural crest
Phascolarctos cincereus,8,Interfrontal,suture01,Neural crest
Rattus rattus,5,Interfrontal,suture01,Neural crest
Setifer setosus,15,Interfrontal,suture01,Neural crest
Setonix brachyurus,6,Interfrontal,suture01,Neural crest
Sminthopsis macroura,16,Interfrontal,suture01,Neural crest
Talpa europaea,12,Interfrontal,suture01,Neural crest
Trichosaurus vulpecula,19,Interfrontal,suture01,Neural crest
Bettongia penicillata,5,Fronto.parietal,suture02,Boundary
Bradypus tridactylus,3,Fronto.parietal,suture02,Boundary
Sapajus apella,13,Fronto.parietal,suture02,Boundary
Cyclopes didactylus,12,Fronto.parietal,suture02,Boundary
Dasyprocta leporina,6,Fronto.parietal,suture02,Boundary
Dasypus novemcinctus,12,Fronto.parietal,suture02,Boundary
Epomops franqueti,3,Fronto.parietal,suture02,Boundary
Felis catus,1,Fronto.parietal,suture02,Boundary
Macroscelides proboscideus,12,Fronto.parietal,suture02,Boundary
Phataginus tricuspis,13,Fronto.parietal,suture02,Boundary
Microcebus murinus,8,Fronto.parietal,suture02,Boundary
Monodelphis domestica,9,Fronto.parietal,suture02,Boundary
Mus musculus,13,Fronto.parietal,suture02,Boundary
Ornithorhynchus anatinus,12,Fronto.parietal,suture02,Boundary
Phacochoerus aethiopicus,12,Fronto.parietal,suture02,Boundary
Phascolarctos cincereus,15,Fronto.parietal,suture02,Boundary
Rattus rattus,7,Fronto.parietal,suture02,Boundary
Setifer setosus,4,Fronto.parietal,suture02,Boundary
Setonix brachyurus,11,Fronto.parietal,suture02,Boundary
Sminthopsis macroura,11,Fronto.parietal,suture02,Boundary
Talpa europaea,6,Fronto.parietal,suture02,Boundary
Trichosaurus vulpecula,7,Fronto.parietal,suture02,Boundary
Bettongia penicillata,12,Interparietal,suture03,Mesoderm
Bradypus tridactylus,6,Interparietal,suture03,Mesoderm
Sapajus apella,24,Interparietal,suture03,Mesoderm
Cyclopes didactylus,16,Interparietal,suture03,Mesoderm
Dasyprocta leporina,9,Interparietal,suture03,Mesoderm
Dasypus novemcinctus,18,Interparietal,suture03,Mesoderm
Epomops franqueti,7,Interparietal,suture03,Mesoderm
Felis catus,15,Interparietal,suture03,Mesoderm
Macroscelides proboscideus,26,Interparietal,suture03,Mesoderm
Phataginus tricuspis,13,Interparietal,suture03,Mesoderm
Microcebus murinus,12,Interparietal,suture03,Mesoderm
Monodelphis domestica,24,Interparietal,suture03,Mesoderm
Mus musculus,19,Interparietal,suture03,Mesoderm
Ornithorhynchus anatinus,1,Interparietal,suture03,Mesoderm
Phacochoerus aethiopicus,1,Interparietal,suture03,Mesoderm
