Specimen,Species,Clade,Age,CS,CS_logged,CS_percent_adult,Percent_binned,Discrete_age,PTA_age_group,Dev_strategy,Diet,Interfrontal,Fronto-parietal ,Interparietal ,Supraoccipito-parietal,Basispheno-presphenoid,Basispheno-basioccipital,Exoccipito-basioccipital,Exoccipito-squamosal,Exoccipito-supraoccipital,Alispheno-squamosal,Alispheno-orbitosphenoid,Orbitospheno-frontal,Fronto-squamosal,Parieto-squamosal,Supraoccipito-squamosal,Interpremaxillary,Intermaxillary,Premaxillo-maxillary (ventral),Interpalatine,Maxillo-palatine,Pterygo-palatine,Premaxillo-maxillary (facial),Premaxillo-nasal,Internasal,Maxillo-jugal,Maxillo-lacrimal,Naso-frontal,Lacrimo-frontal,Jugo-squamosal,Palato-alisphenoid,Palato-orbitosphenoid
Bettongia_penicillata_SAM-24228_80days,Bettongia penicillata,Marsupial,I,174.3897803,5.161292911,62.56896681,Group3,I,Group2,Super-altricial,Fungivore,2,3,2,1,1,1,1,1,1,3,1,1,2,4,1,1,1,1,1,2,1,1,3,3,3,2,1,5,1,1,5
Bettongia_penicillata_SAM-24230_46days,Bettongia penicillata,Marsupial,I,113.8225753,4.734640879,40.83817827,Group2,I,Group2,Super-altricial,Fungivore,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,3
Bettongia_penicillata_SAM-24233_13-15days,Bettongia penicillata,Marsupial,E,50.69059356,3.925740362,18.18717852,Group1,E,Group1,Super-altricial,Fungivore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bettongia_penicillata_SAM-24238_35days,Bettongia penicillata,Marsupial,I,96.21636923,4.566599502,34.52128217,Group2,I,Group2,Super-altricial,Fungivore,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3
Bettongia_penicillata_SAM-24239_20days,Bettongia penicillata,Marsupial,E,65.18564174,4.177239226,23.38782839,Group1,E,Group1,Super-altricial,Fungivore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bettongia_penicillata_SAM-24240_56days,Bettongia penicillata,Marsupial,I,134.2206464,4.899485061,48.15676215,Group2,I,Group2,Super-altricial,Fungivore,1,3,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,1,1,3,1,1,5
Bettongia_penicillata_SAM-24243_85+days,Bettongia penicillata,Marsupial,I,189.2503713,5.243070854,67.90076908,Group3,SA,Group3,Super-altricial,Fungivore,4,4,2,2,1,1,1,1,1,4,2,2,2,4,1,2,1,1,1,2,3,2,3,4,3,3,2,5,2,1,5
Bettongia_penicillata_SAM-24244_28days,Bettongia penicillata,Marsupial,I,90.77981813,4.508436994,32.57071268,Group2,I,Group2,Super-altricial,Fungivore,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
Bettongia_penicillata_SAM-24246_60-69days,Bettongia penicillata,Marsupial,I,149.1066029,5.004661506,53.49766525,Group2,I,Group2,Super-altricial,Fungivore,1,3,1,2,1,1,1,1,1,3,1,1,1,4,1,1,1,1,1,2,1,1,3,3,3,2,1,4,1,1,5
Bettongia_penicillata_SAM-24247_adult,Bettongia penicillata,Marsupial,A,278.7160939,5.630193679,100,Group4,A,Group4,Super-altricial,Fungivore,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
Bradypus_tridactylus_NHMUK_1867.4.12.579,Bradypus tridactylus,Placental,A,311.0235809,5.739868732,100,Group4,A,Group4,Semi-precocial,Herbivore,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,4,1,5,5,5,1,1,5,5,5,5,4,1,5,5
Bradypus_tridactylus_NHMUK_1989.226,Bradypus tridactylus,Placental,I,178.0435313,5.182028078,57.24438346,Group3,I,Group2,Semi-precocial,Herbivore,3,3,3,2,1,1,1,1,1,2,1,1,1,3,1,5,4,1,3,1,2,1,1,2,3,4,3,1,1,3,3
Bradypus_tridactylus_NHMUK_1994.6,Bradypus tridactylus,Placental,E,139.3558528,4.937030754,44.8055586,Group2,E,Group1,Semi-precocial,Herbivore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
Bradypus_tridactylus_NHMUK_52.1173,Bradypus tridactylus,Placental,I,178.3923011,5.183985064,57.35651959,Group3,I,Group2,Semi-precocial,Herbivore,4,3,3,3,1,1,1,1,2,1,1,1,1,2,1,5,1,1,1,1,2,1,1,3,1,3,2,2,1,2,3
Bradypus_tridactylus_NHMUK_no_number,Bradypus tridactylus,Placental,I,213.2965701,5.362683545,68.57890629,Group3,SA,Group3,Semi-precocial,Herbivore,4,4,4,4,1,1,1,2,3,3,1,4,1,4,3,5,1,1,1,2,2,1,1,1,2,3,2,1,1,3,3
Bradypus_tridactylus_ZMB_18834,Bradypus tridactylus,Placental,E,149.664231,5.008394325,48.11989836,Group2,E,Group1,Semi-precocial,Herbivore,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,4,1,1,1,2,3
Bradypus_tridactylus_ZMB_9195,Bradypus tridactylus,Placental,E,125.5106686,4.832390764,40.35406841,Group2,E,Group1,Semi-precocial,Herbivore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cebus_apella_NHMUK_12.6.5.8,Sapajus apella,Placental,A,393.3895807,5.97480042,100,Group4,A,Group4,Semi-altricial,Frugivore,5,4,2,3,1,1,4,4,5,4,2,3,1,4,4,3,3,4,3,3,4,5,4,5,4,4,5,4,4,3,3
Cebus_apella_NHMUK_28.2.9.3,Sapajus apella,Placental,I,302.1007601,5.710760604,76.79429627,Group3,I,Group2,Semi-altricial,Frugivore,5,2,3,1,1,4,1,3,2,2,2,2,1,4,1,3,4,2,3,2,2,4,3,5,4,3,5,4,4,3,2
Cebus_apella_NHMUK_3.7.25.1,Sapajus apella,Placental,I,308.257281,5.730934762,78.35928965,Group4,SA,Group3,Semi-altricial,Frugivore,5,3,2,3,1,1,4,2,5,2,2,2,1,4,2,2,2,2,2,2,3,4,5,5,4,4,5,3,3,3,3
Cebus_apella_NHMUK_67.4.12.394,Sapajus apella,Placental,E,174.3636992,5.161143343,44.32341571,Group2,E,Group1,Semi-altricial,Frugivore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
Cebus_apella_NHMUK_71.3174,Sapajus apella,Placental,I,243.7420228,5.496110382,61.95945057,Group3,I,Group2,Semi-altricial,Frugivore,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1
Cebus_apella_NHMUK_71.3177,Sapajus apella,Placental,I,293.5782696,5.68214428,74.6278712,Group3,I,Group2,Semi-altricial,Frugivore,5,3,2,2,1,1,3,2,3,3,2,2,1,2,1,2,3,3,2,2,2,3,2,5,2,3,4,3,3,3,2
Cyclopes_didactylus_NHMUK_2010.105,Cyclopes didactylus,Placental,I,120.7254585,4.79351903,57.26188524,Group3,I,Group2,Semi-precocial,Insectivore,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,5,3,1,3,2,4,1,1,4,1,3,2,4,1,4,4
Cyclopes_didactylus_NHMUK_26.12.4.68,Cyclopes didactylus,Placental,A,210.8303944,5.351053992,100,Group4,A,Group4,Semi-precocial,Insectivore,5,5,5,5,3,5,5,5,5,5,2,5,1,5,5,5,4,1,4,4,5,1,1,4,1,4,3,5,1,4,5
Cyclopes_didactylus_NHMUK_55.12.36.345,Cyclopes didactylus,Placental,I,139.6805272,4.939357866,66.25255699,Group3,SA,Group3,Semi-precocial,Insectivore,4,2,1,2,1,1,1,3,3,1,1,4,1,1,1,5,4,1,5,3,5,1,1,4,1,2,1,5,1,4,5
Cyclopes_didactylus_ZMB_6XII1906a,Cyclopes didactylus,Placental,E,114.4251479,4.739920879,54.27355397,Group3,E,Group1,Semi-precocial,Insectivore,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,5,2,3,1,1,4,1,4,1,4,1,1,3
Dasyprocta_leporina_NHMUK_12.5.11.8,Dasyprocta leporina,Placental,I,314.3365266,5.750464153,80.40098484,Group4,SA,Group3,Precocial,Herbivore,5,4,5,5,5,1,4,3,3,3,4,4,5,5,5,4,3,3,5,3,4,4,4,5,4,3,4,3,4,3,4
