Specimen,Species,CS_percent_adult,Vault,Cranial_base,Circum-meatal,Palate,Facial,Cranio-facial
Bettongia_penicillata_SAM-24228_80days,Bettongia penicillata,62.56896681,25,0,25,4.16666666,35,40
Bettongia_penicillata_SAM-24230_46days,Bettongia penicillata,40.83817827,0,0,16.6666666,0,10,10
Bettongia_penicillata_SAM-24233_13-15days,Bettongia penicillata,18.18717852,0,0,0,0,0,0
Bettongia_penicillata_SAM-24238_35days,Bettongia penicillata,34.52128217,0,0,8.33333333,0,5,10
Bettongia_penicillata_SAM-24239_20days,Bettongia penicillata,23.38782839,0,0,0,0,0,0
Bettongia_penicillata_SAM-24240_56days,Bettongia penicillata,48.15676215,12.5,0,16.6666666,0,15,30
Bettongia_penicillata_SAM-24243_85+days,Bettongia penicillata,67.90076908,50,0,37.5,16.6666666,50,50
Bettongia_penicillata_SAM-24244_28days,Bettongia penicillata,32.57071268,0,0,8.33333333,0,0,10
Bettongia_penicillata_SAM-24246_60-69days,Bettongia penicillata,53.49766525,18.75,0,20.8333333,4.16666666,35,35
Bettongia_penicillata_SAM-24247_adult,Bettongia penicillata,100,100,100,91.6666666,91.6666666,100,100
Bradypus_tridactylus_NHMUK_1867.4.12.579,Bradypus tridactylus,100,93.75,95,95.8333333,70.8333333,60,75
Bradypus_tridactylus_NHMUK_1989.226,Bradypus tridactylus,57.24438346,43.75,0,12.5,41.6666666,30,30
Bradypus_tridactylus_NHMUK_1994.6,Bradypus tridactylus,44.8055586,0,0,0,16.6666666,0,5
Bradypus_tridactylus_NHMUK_52.1173,Bradypus tridactylus,57.35651959,56.25,5,4.16666666,20.8333333,20,25
Bradypus_tridactylus_NHMUK_no_number,Bradypus tridactylus,68.57890629,75,15,41.6666666,25,15,25
Bradypus_tridactylus_ZMB_18834,Bradypus tridactylus,48.11989836,12.5,0,0,16.6666666,20,15
Bradypus_tridactylus_ZMB_9195,Bradypus tridactylus,40.35406841,0,0,0,16.6666666,0,0
Cebus_apella_NHMUK_12.6.5.8,Sapajus apella,100,62.5,50,50,58.3333333,85,70
Cebus_apella_NHMUK_28.2.9.3,Sapajus apella,76.79429627,43.75,30,25,41.6666666,70,65
Cebus_apella_NHMUK_3.7.25.1,Sapajus apella,78.35928965,56.25,40,29.1666666,29.1666666,85,60
Cebus_apella_NHMUK_67.4.12.394,Sapajus apella,44.32341571,0,0,0,0,0,5
Cebus_apella_NHMUK_71.3174,Sapajus apella,61.95945057,12.5,0,4.16666666,8.33333333,10,10
Cebus_apella_NHMUK_71.3177,Sapajus apella,74.6278712,50,25,20.8333333,33.3333333,50,50
Cyclopes_didactylus_NHMUK_2010.105,Cyclopes didactylus,57.26188524,12.5,10,4.16666666,50,25,50
Cyclopes_didactylus_NHMUK_26.12.4.68,Cyclopes didactylus,100,100,90,70.8333333,70.8333333,30,65
Cyclopes_didactylus_NHMUK_55.12.36.345,Cyclopes didactylus,66.25255699,31.25,20,12.5,70.8333333,20,55
Cyclopes_didactylus_ZMB_6XII1906a,Cyclopes didactylus,54.27355397,18.75,0,0,50,30,25
Dasyprocta_leporina_NHMUK_12.5.11.8,Dasyprocta leporina,80.40098484,93.75,55,83.3333333,66.6666666,75,65
Dasyprocta_leporina_NHMUK_52.1156,Dasyprocta leporina,100,93.75,70,87.5,83.3333333,60,85
Dasyprocta_leporina_NHMUK_67.4.12.472,Dasyprocta leporina,51.26374744,12.5,0,20.8333333,25,10,10
Dasyprocta_leporina_NHMUK_67.4.12.497,Dasyprocta leporina,53.05469938,12.5,0,16.6666666,16.6666666,10,10
Dasyprocta_leporina_NHMUK_67.4.12.585_spec1,Dasyprocta leporina,19.23007806,0,0,8.33333333,12.5,10,0
Dasyprocta_leporina_NHMUK_67.4.12.585_spec2,Dasyprocta leporina,20.48543824,6.25,0,20.8333333,16.6666666,15,0
Dasyprocta_leporina_NHMUK_97.8.13.2,Dasyprocta leporina,71.89276132,93.75,20,70.8333333,54.1666666,50,45
Dasyprocta_leporina_NHMUK_ZD.2021.1,Dasyprocta leporina,47.69885658,0,0,20.8333333,33.3333333,15,0
Dasypus_novemcinctus_MNHN_1901-331,Dasypus novemcinctus,40.81705198,25,0,4.16666666,25,40,15
Dasypus_novemcinctus_MNHN_1910-409b,Dasypus novemcinctus,46.7967233,31.25,15,25,25,40,30
Dasypus_novemcinctus_MNHN_1910-410,Dasypus novemcinctus,45.16385935,25,25,20.8333333,45.8333333,50,40
Dasypus_novemcinctus_z.134,Dasypus novemcinctus,100,100,95,100,100,100,100
Dasypus_novemcinctus_ZMB_40641,Dasypus novemcinctus,33.51911799,0,0,0,4.16666666,10,5
