,Bettongia penicillata,Bradypus tridactylus,Sapajus apella,Cyclopes didactylus,Dasyprocta leporina,Dasypus novemcinctus,Epomops franqueti,Felis catus,Macroscelides proboscideus,Phataginus tricuspis,Microcebus murinus,Monodelphis domestica,Mus musculus,Ornithorhynchus anatinus,Phacochoerus aethiopicus,Phascolarctos cincereus,Rattus rattus,Setifer setosus,Setonix brachyurus,Sminthopsis macroura,Talpa europaea,Trichosaurus vulpecula
Interfrontal,20,42.85714286,75,56.25,40.625,16.66666667,55,32.14285714,62.5,32.14285714,62.5,42.30769231,70.83333333,100,65.90909091,20.45454545,60,59.375,63.46153846,28.57142857,50,5.555555556
Fronto.parietal,32.5,46.42857143,33.33333333,43.75,43.75,37.5,60,46.42857143,70.83333333,25,62.5,48.07692308,54.16666667,93.75,56.81818182,15.90909091,55,81.25,51.92307692,39.28571429,71.875,19.44444444
Interparietal,15,39.28571429,20.83333333,31.25,37.5,33.33333333,45,25,45.83333333,25,56.25,26.92307692,37.5,100,75,18.18181818,30,31.25,36.53846154,0,9.375,2.777777778
Supraoccipito.parietal,15,32.14285714,20.83333333,31.25,34.375,33.33333333,45,25,70.83333333,32.14285714,43.75,40.38461538,33.33333333,93.75,63.63636364,18.18181818,25,68.75,40.38461538,7.142857143,12.5,16.66666667
Basispheno.presphenoid,10,10.71428571,0,12.5,25,20.83333333,25,25,95.83333333,14.28571429,18.75,9.615384615,8.333333333,75,54.54545455,0,0,37.5,0,7.142857143,21.875,0
Basispheno.basioccipital,10,14.28571429,12.5,25,0,29.16666667,15,14.28571429,29.16666667,14.28571429,31.25,19.23076923,25,75,38.63636364,0,5,21.875,0,3.571428571,25,0
Exoccipito.basioccipital,10,14.28571429,33.33333333,25,28.125,12.5,35,25,66.66666667,14.28571429,62.5,28.84615385,66.66666667,43.75,56.81818182,0,30,46.875,7.692307692,21.42857143,9.375,0
Exoccipito.squamosal,10,17.85714286,29.16666667,43.75,18.75,33.33333333,25,14.28571429,58.33333333,25,56.25,19.23076923,0,93.75,61.36363636,13.63636364,15,6.25,15.38461538,28.57142857,3.125,19.44444444
Exoccipito.supraoccipital,10,25,45.83333333,43.75,18.75,16.66666667,35,35.71428571,33.33333333,100,56.25,23.07692308,70.83333333,62.5,27.27272727,0,30,50,7.692307692,25,6.25,0
Alispheno.squamosal,42.5,25,29.16666667,25,43.75,37.5,35,42.85714286,79.16666667,28.57142857,75,50,66.66666667,100,72.72727273,20.45454545,60,81.25,75,32.14285714,43.75,25
