Specimen,Species,Clade,Age,CS,CS_logged,CS_percent_adult,Percent_binned,Discrete_age,PTA_age_group,Dev_strategy,Diet,Interfrontal,Fronto-parietal ,Interparietal ,Supraoccipito-parietal,Basispheno-presphenoid,Basispheno-basioccipital,Exoccipito-basioccipital,Exoccipito-squamosal,Exoccipito-supraoccipital,Alispheno-squamosal,Alispheno-orbitosphenoid,Orbitospheno-frontal,Fronto-squamosal,Parieto-squamosal,Supraoccipito-squamosal,Interpremaxillary,Intermaxillary,Premaxillo-maxillary (ventral),Interpalatine,Maxillo-palatine,Pterygo-palatine,Premaxillo-maxillary (facial),Premaxillo-nasal,Internasal,Maxillo-jugal,Maxillo-lacrimal,Naso-frontal,Lacrimo-frontal,Jugo-squamosal,Palato-alisphenoid,Palato-orbitosphenoid
Bettongia_penicillata_SAM-24247_adult,Bettongia penicillata,Marsupial,A,278.7160939,5.630193679,100,Group4,A,Group4,Super-altricial,Fungivore,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
Bradypus_tridactylus_NHMUK_1867.4.12.579,Bradypus tridactylus,Placental,A,311.0235809,5.739868732,100,Group4,A,Group4,Semi-precocial,Herbivore,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,4,1,5,5,5,1,1,5,5,5,5,4,1,5,5
Cebus_apella_NHMUK_12.6.5.8,Sapajus apella,Placental,A,393.3895807,5.97480042,100,Group4,A,Group4,Semi-altricial,Frugivore,5,4,2,3,1,1,4,4,5,4,2,3,1,4,4,3,3,4,3,3,4,5,4,5,4,4,5,4,4,3,3
Cyclopes_didactylus_NHMUK_26.12.4.68,Cyclopes didactylus,Placental,A,210.8303944,5.351053992,100,Group4,A,Group4,Semi-precocial,Insectivore,5,5,5,5,3,5,5,5,5,5,2,5,1,5,5,5,4,1,4,4,5,1,1,4,1,4,3,5,1,4,5
Dasyprocta_leporina_NHMUK_52.1156,Dasyprocta leporina,Placental,A,390.9610401,5.968607913,100,Group4,A,Group4,Precocial,Herbivore,4,5,5,5,5,1,5,3,5,4,5,4,4,5,5,4,4,5,5,4,4,3,4,3,4,3,5,3,5,5,4
Dasypus_novemcinctus_z.134,Dasypus novemcinctus,Placental,A,362.7961659,5.89384115,100,Group4,A,Group4,Precocial,Insectivore,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Epomops_franqueti_NHMUK_66.3499,Epomops franqueti,Placental,A,201.8727754,5.307637674,100,Group4,A,Group4,Altricial,Frugivore,5,5,5,5,5,3,5,3,5,4,5,4,1,5,3,1,5,1,5,5,3,3,1,5,5,5,5,5,5,3,4
Felis_catus_NHMUK_1952.10.20.1,Felis catus,Placental,A,386.3616027,5.956773726,100,Group4,A,Group4,Semi-altricial,Carnivore,5,4,5,5,5,3,5,3,5,5,3,4,5,5,5,5,4,4,2,5,5,3,5,4,4,3,5,1,4,5,5
Macroscelides_proboscideus_NHMUK_3.1.4.10,Macroscelides proboscideus,Placental,A,126.5728707,4.840818195,100,Group4,A,Group4,Precocial,Insectivore,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5,4,3,5,5,5,4,3,5,5,4,5,5
Manis_tricuspis_NHMUK_1.8.9.108,Phataginus tricuspis,Placental,A,240.8285552,5.484085291,100,Group4,A,Group4,Semi-precocial,Insectivore,4,4,5,5,3,3,4,5,5,4,4,3,2,1,5,5,2,1,1,3,1,1,3,5,1,4,2,2,1,2,4
Microcebus_murinus_DLC_7030f,Microcebus murinus,Placental,A,140.6334422,4.946156805,98.38397162,Group4,A,Group4,Semi-altricial,Frugivore,5,5,5,4,4,4,4,4,4,5,5,5,4,4,5,5,3,5,5,4,4,5,5,5,5,5,5,5,4,5,4
Monodelphis_domestica_TMM-M-9038_adult,Monodelphis domestica,Marsupial,A,163.5472176,5.097101741,100,Group4,A,Group4,Super-altricial,Omnivore,4,5,5,5,5,5,5,3,5,5,3,4,5,5,5,4,4,3,5,4,5,3,3,1,4,4,5,3,4,5,5
Mus_musculus_4.5moths_cfos_WT_1485,Mus musculus,Placental,A,87.58273638,4.472583905,100,Group4,A,Group4,Altricial,Omnivore,4,3,2,2,1,3,5,1,5,4,3,3,4,3,1,4,3,4,3,4,4,3,3,4,4,4,3,3,1,3,3
