,closure_score_%
Bettongia penicillata,96.77419355
Bradypus tridactylus,83.06451613
Sapajus apella,62.09677419
Cyclopes didactylus,70.16129032
Dasyprocta leporina,79.83870968
Dasypus novemcinctus,99.19354839
Epomops franqueti,75
Felis catus,80.64516129
Macroscelides proboscideus,91.93548387
Phataginus tricuspis,51.61290323
Microcebus murinus,88.70967742
Monodelphis domestica,80.64516129
Mus musculus,53.22580645
Ornithorhynchus anatinus,90.32258065
Phacochoerus aethiopicus,81.4516129
Phascolarctos cincereus,66.12903226
Rattus rattus,64.51612903
Setifer setosus,84.67741935
Setonix brachyurus,78.22580645
Sminthopsis macroura,65.32258065
Talpa europaea,83.87096774
Trichosaurus vulpecula,41.12903226
