,closure_score_%,Species
Bettongia_penicillata_SAM-24228_80days,20.96774194,Bettongia penicillata
Bettongia_penicillata_SAM-24230_46days,7.258064516,Bettongia penicillata
Bettongia_penicillata_SAM-24233_13-15days,0,Bettongia penicillata
Bettongia_penicillata_SAM-24238_35days,4.032258065,Bettongia penicillata
Bettongia_penicillata_SAM-24239_20days,0,Bettongia penicillata
Bettongia_penicillata_SAM-24240_56days,12.09677419,Bettongia penicillata
Bettongia_penicillata_SAM-24243_85+days,33.06451613,Bettongia penicillata
Bettongia_penicillata_SAM-24244_28days,3.225806452,Bettongia penicillata
Bettongia_penicillata_SAM-24246_60-69days,18.5483871,Bettongia penicillata
Bettongia_penicillata_SAM-24247_adult,96.77419355,Bettongia penicillata
Bradypus_tridactylus_NHMUK_1867.4.12.579,83.06451613,Bradypus tridactylus
Bradypus_tridactylus_NHMUK_1989.226,25.80645161,Bradypus tridactylus
Bradypus_tridactylus_NHMUK_1994.6,4.032258065,Bradypus tridactylus
Bradypus_tridactylus_NHMUK_52.1173,20.16129032,Bradypus tridactylus
Bradypus_tridactylus_NHMUK_no_number,31.4516129,Bradypus tridactylus
Bradypus_tridactylus_ZMB_18834,10.48387097,Bradypus tridactylus
Bradypus_tridactylus_ZMB_9195,3.225806452,Bradypus tridactylus
Cebus_apella_NHMUK_12.6.5.8,62.09677419,Sapajus apella
Cebus_apella_NHMUK_28.2.9.3,45.16129032,Sapajus apella
Cebus_apella_NHMUK_3.7.25.1,48.38709677,Sapajus apella
Cebus_apella_NHMUK_67.4.12.394,0.806451613,Sapajus apella
Cebus_apella_NHMUK_71.3174,7.258064516,Sapajus apella
Cebus_apella_NHMUK_71.3177,37.09677419,Sapajus apella
Cyclopes_didactylus_NHMUK_2010.105,25.80645161,Cyclopes didactylus
Cyclopes_didactylus_NHMUK_26.12.4.68,70.16129032,Cyclopes didactylus
Cyclopes_didactylus_NHMUK_55.12.36.345,35.48387097,Cyclopes didactylus
Cyclopes_didactylus_ZMB_6XII1906a,20.96774194,Cyclopes didactylus
Dasyprocta_leporina_NHMUK_12.5.11.8,72.58064516,Dasyprocta leporina
Dasyprocta_leporina_NHMUK_52.1156,79.83870968,Dasyprocta leporina
Dasyprocta_leporina_NHMUK_67.4.12.472,13.70967742,Dasyprocta leporina
Dasyprocta_leporina_NHMUK_67.4.12.497,11.29032258,Dasyprocta leporina
Dasyprocta_leporina_NHMUK_67.4.12.585_spec1,6.451612903,Dasyprocta leporina
Dasyprocta_leporina_NHMUK_67.4.12.585_spec2,10.48387097,Dasyprocta leporina
Dasyprocta_leporina_NHMUK_97.8.13.2,54.83870968,Dasyprocta leporina
Dasyprocta_leporina_NHMUK_ZD.2021.1,12.90322581,Dasyprocta leporina
Dasypus_novemcinctus_MNHN_1901-331,17.74193548,Dasypus novemcinctus
Dasypus_novemcinctus_MNHN_1910-409b,28.22580645,Dasypus novemcinctus
Dasypus_novemcinctus_MNHN_1910-410,34.67741935,Dasypus novemcinctus
Dasypus_novemcinctus_z.134,99.19354839,Dasypus novemcinctus
Dasypus_novemcinctus_ZMB_40641,3.225806452,Dasypus novemcinctus
Dasypus_novemcinctus_ZMB_40651,40.32258065,Dasypus novemcinctus
Epomops_franqueti_NHMUK_48.283,4.838709677,Epomops franqueti
Epomops_franqueti_NHMUK_66.3499,75,Epomops franqueti
Epomops_franqueti_NHMUK_68.353,33.06451613,Epomops franqueti
Epomops_franqueti_NHMUK_69.198,4.838709677,Epomops franqueti
Epomops_franqueti_NHMUK_80.7.21.4,51.61290323,Epomops franqueti
Felis_catus_NHMUK_19.7.7.3514,55.64516129,Felis catus
Felis_catus_NHMUK_1952.10.20.1,80.64516129,Felis catus
Felis_catus_NHMUK_1952.10.20.2,34.67741935,Felis catus
Felis_catus_NHMUK_1992.178,3.225806452,Felis catus
Felis_catus_NHMUK_1992.184,3.225806452,Felis catus
Felis_catus_NHMUK_1999.132,0,Felis catus
Felis_catus_NHMUK_69.508,8.064516129,Felis catus
Macroscelides_proboscideus_NHMUK_2.9.1.17,54.83870968,Macroscelides proboscideus
Macroscelides_proboscideus_NHMUK_2.9.1.18,82.25806452,Macroscelides proboscideus
Macroscelides_proboscideus_NHMUK_3.1.4.10,91.93548387,Macroscelides proboscideus
Macroscelides_proboscideus_UMZC_48,33.06451613,Macroscelides proboscideus
Macroscelides_proboscideus_UMZC_w3,68.5483871,Macroscelides proboscideus
Macroscelides_proboscideus_UMZC_w39,66.12903226,Macroscelides proboscideus
Manis_tricuspis_NHMUK_1.8.9.108,51.61290323,Phataginus tricuspis
Manis_tricuspis_NHMUK_1999.102,24.19354839,Phataginus tricuspis
Manis_tricuspis_NHMUK_1999.93,22.58064516,Phataginus tricuspis
Manis_tricuspis_NHMUK_66.3562,33.87096774,Phataginus tricuspis
Manis_tricuspis_NHMUK_9.1.4.66,8.870967742,Phataginus tricuspis
